Time		FC3,FCZ,FC4,C3 ,Cz ,C4 ,CP3,CPz,CP4
Hi13:48:47:178080,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:48:47:179171,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:48:47:180798,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:48:47:181930,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:48:47:184324,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:48:47:184324,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:48:47:195963,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:48:47:203908,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:48:47:209022,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:48:47:210017,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:48:47:212084,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:48:47:212084,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:48:47:220264,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:48:47:220264,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:48:47:220264,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:48:47:223842,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:48:47:225835,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:48:47:226832,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:48:47:228995,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:48:47:230021,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:48:47:230457,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:48:47:232506,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:48:47:233506,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:48:47:233506,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:48:47:233506,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:48:47:233506,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:48:47:237973,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:48:47:238998,-5,-5,-5,-5,-5,-5,-5,-5,-5
